url,carbon_date,age,,urims
airtel.lk,5/13/2007,5671,,947
akbar.com,9/20/1997,9193,,660
airport.lk,8/16/2000,8132,,607
apiit.lk,1/4/2000,8357,,355
aithiya.lk,6/10/2014,3086,,183
applications.lk,1/4/2017,2147,,182
agaram.lk,5/14/2015,2748,,78
apictures.lk,1/9/2016,2508,,43
adhere.lk,10/23/2019,1125,,42
appleasia.lk,7/3/2018,1602,,39
architectssrilanka.org,11/28/2009,4741,,37
akaza.lk,12/31/2014,2882,,24
anybanq.lk,8/5/2021,473,,16
alphabusiness.lk,7/31/2019,1209,,16
agrarianvav.lk,12/3/2018,1449,,16
ahmadtea.lk,1/19/2021,671,,15
